iter	PRAUC:type=Classic	Logloss
620	0.6700631209	0.6356952183
621	0.6702408735	0.6356368454
622	0.6703151842	0.6355862112
623	0.6704214225	0.6355495484
624	0.6704975234	0.6354954296
625	0.6705344858	0.6354688551
626	0.6705749435	0.6354248089
627	0.6706315587	0.6353950013
628	0.6707148054	0.6353644151
629	0.6707490188	0.6353355598
630	0.6707982171	0.6353038565
631	0.6708524023	0.6352692361
632	0.6709085771	0.6352413922
633	0.6709730667	0.6352026982
634	0.6710419679	0.6351626227
635	0.6710853676	0.6351215327
636	0.6711821616	0.6350694529
637	0.67127281	0.6350239399
638	0.6713104848	0.6349901375
639	0.6713795852	0.6349540533
640	0.6714305817	0.6349197348
641	0.6715168362	0.6348829989
642	0.6715711413	0.6348456567
643	0.6716144568	0.6348169262
644	0.6716581901	0.6347962224
645	0.6717265931	0.6347622307
646	0.6717520449	0.6347476143
647	0.6718012275	0.634701446
648	0.6718778857	0.6346684024
649	0.6719378751	0.6346106447
650	0.6719726977	0.6345884088
651	0.6720349752	0.6345490162
652	0.6720998505	0.6345167637
653	0.6722822276	0.6344594408
654	0.672343225	0.634425792
655	0.6723985442	0.6343886418
656	0.6724401964	0.6343544792
657	0.6725143307	0.6343156897
658	0.6725799006	0.6342865541
659	0.6726089456	0.6342597786
660	0.6726374733	0.6342251449
661	0.6727255927	0.6341856077
662	0.6727637939	0.6341557173
663	0.672832811	0.6341175128
664	0.67288809	0.6340808513
665	0.6729096304	0.6340461129
666	0.6729819461	0.6340190626
667	0.6730166889	0.6339831813
668	0.6730646136	0.633945443
669	0.6731664278	0.6339105062
670	0.6732180397	0.6338771797
671	0.6732880858	0.6338080184
672	0.6733209026	0.6337747696
673	0.6734473053	0.6337393545
674	0.6734977778	0.6337050384
675	0.6735175978	0.6336760845
676	0.6735827241	0.6336306124
677	0.6736118089	0.6336182652
678	0.6736328219	0.6335980732
679	0.6736730588	0.6335757505
680	0.6737077802	0.6335481538
681	0.6737237847	0.6335361755
682	0.6738137019	0.6335021823
683	0.6738543393	0.6334656818
684	0.6739219191	0.6334291611
685	0.6739566646	0.6334068555
686	0.6740372873	0.633357868
687	0.67409037	0.6333332764
688	0.6741329278	0.633298326
689	0.6741538112	0.6332771396
690	0.6741866303	0.6332353134
691	0.6742850799	0.633197541
692	0.6743411742	0.6331553509
693	0.6744058759	0.6331240397
694	0.6744577368	0.6330849389
695	0.6745195468	0.6330495929
696	0.6745722158	0.6330059154
697	0.6746060645	0.6329608092
698	0.6746764583	0.6329282056
699	0.6747124692	0.6328969933
700	0.6747522232	0.6328619858
701	0.6748084189	0.6328292015
702	0.6748340185	0.6327931196
703	0.6748827443	0.6327619868
704	0.6749805827	0.6327243048
705	0.6750820159	0.6326860901
706	0.6751001446	0.6326588225
707	0.6751745003	0.6326161244
708	0.6752381977	0.6325737194
709	0.6752909035	0.6325464203
710	0.6753172587	0.6325287459
711	0.6754597988	0.6324769801
712	0.6755098103	0.6324270764
713	0.675576206	0.6324011288
714	0.6756371359	0.6323618752
715	0.6757020561	0.6323126373
716	0.6757394871	0.6322929286
717	0.6757614663	0.632289185
718	0.6758172039	0.6322547092
719	0.6758673698	0.6322314819
720	0.6759446908	0.6321857455
721	0.6759788642	0.6321572507
722	0.6760362803	0.632125701
723	0.6761142916	0.632090127
724	0.6762125079	0.6320391683
725	0.6762229363	0.6320168521
726	0.6762975666	0.6319851979
727	0.6763264408	0.6319709884
728	0.6764075987	0.6319306767
729	0.6764730077	0.6318918995
730	0.6765820552	0.6318492663
731	0.6766538441	0.6318134601
732	0.6767337044	0.6317831377
733	0.6767982245	0.6317482826
734	0.6768758346	0.6317017851
735	0.6768925414	0.6316760144
736	0.6769601838	0.631633052
737	0.6769942603	0.6315921221
738	0.6770363903	0.6315501698
739	0.6770887811	0.6315237535
740	0.6771544357	0.6314981376
741	0.6771959363	0.6314690629
742	0.6772329651	0.6314440553
743	0.6772641704	0.631413385
744	0.6772811392	0.6313717912
745	0.6773886623	0.6313339447
746	0.6775040827	0.6312995574
747	0.6775914078	0.6312625794
748	0.6776458571	0.6312347393
749	0.677666931	0.6311964746
750	0.6777171626	0.6311646548
751	0.6777817692	0.631126772
752	0.6778292884	0.6310881786
753	0.6779680005	0.631031426
754	0.6780352319	0.6309972681
755	0.67810789	0.6309606336
756	0.6781641742	0.6309159732
757	0.6782506585	0.6308955146
758	0.6782979791	0.6308594635
759	0.6783093341	0.630821336
760	0.6783651538	0.6307890472
761	0.6784536951	0.6307446224
762	0.6785152731	0.6307118831
763	0.6785897164	0.6306664184
764	0.6786230187	0.6306373066
765	0.6786702351	0.6306125052
766	0.6787241768	0.6305794487
767	0.6788258303	0.6305369823
768	0.6788567329	0.6304999891
769	0.6788569923	0.6304999163
770	0.678906195	0.630466577
771	0.6789479782	0.630444517
772	0.6789908701	0.6304211843
773	0.6790970956	0.6303808287
774	0.6791625357	0.630334606
775	0.6792217557	0.630308749
776	0.6792523302	0.6302806779
777	0.679285878	0.6302472784
778	0.6793536879	0.6302101202
779	0.6794086933	0.630185319
780	0.6794625253	0.6301472353
781	0.6795256243	0.6301107242
782	0.6795821951	0.6300616694
783	0.6795924215	0.6300529718
784	0.6796362005	0.6299959387
785	0.6797048682	0.629970303
786	0.6797350945	0.6299508025
787	0.6797706466	0.6299247717
788	0.6798270598	0.6298803101
789	0.67986236	0.6298403028
790	0.6799072446	0.6298075055
791	0.6799728729	0.6297709945
792	0.6800970916	0.6297191143
793	0.6801626785	0.6296876935
794	0.680207901	0.629643347
795	0.6802630011	0.6296129056
796	0.680340398	0.629574455
797	0.6804489785	0.6295343688
798	0.6804590378	0.6295307798
799	0.6805140757	0.6294940247
800	0.6805165697	0.6294911737
801	0.6806611873	0.629453919
802	0.6806621253	0.629431381
803	0.680734277	0.6293990559
804	0.6807617335	0.6293787158
805	0.680811491	0.629327221
806	0.6808547768	0.6292945935
807	0.6809046696	0.6292498419
808	0.6809973835	0.6292255504
809	0.6810516301	0.6291913623
810	0.6810979008	0.6291675449
811	0.6811530228	0.6291337317
812	0.6811960925	0.6291071305
813	0.6812485214	0.6290840464
814	0.6812771742	0.6290535086
815	0.681318475	0.6290190161
816	0.6813456118	0.6289925707
817	0.6814257489	0.6289514082
818	0.681510151	0.6289125332
819	0.6816083083	0.6288749177
820	0.6816700365	0.6288404261
821	0.6817222714	0.6288091992
822	0.6817677821	0.6287805998
823	0.6818591815	0.6287497661
824	0.6819386176	0.6287192432
825	0.6820110646	0.6286724626
826	0.6820675771	0.6286410388
827	0.6821198636	0.6285946047
828	0.6821312012	0.6285711782
829	0.6822298512	0.6285377928
830	0.6822808252	0.6285031015
831	0.6823189227	0.6284790422
832	0.68241066	0.628445283
833	0.6824167241	0.6284191609
834	0.6824657199	0.6283890687
835	0.6824858779	0.6283730065
